model_number_1,model_number_2,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes
0_model,1_model,0.5283843472101472,0.5786524147045591,0.08048843039232646,0.5384073894351553,0.6656841320889627,0.22347401702093458,0.952,0.219,0.726,0.883,0
0_model,2_model,0.7059486888208543,1.0343861918845019,0.6652741152023228,0.5509887107494231,0.9959732452931174,0.3485183119123931,0.884,0.707,2.409,0.909,0
0_model,3_model,0.5412663877180968,0.7035512941697656,0.6613047175300552,0.4537925166714709,0.862494931097517,0.1454057711854862,0.961,0.326,1.567,0.962,0
0_model,4_model,0.47558930494497476,0.648117743050367,0.1562205794738685,0.42474772804868915,0.6532590789739631,0.2643437936529759,0.92,0.437,2.954,0.946,0
1_model,2_model,0.6976169595493886,1.1258783854537608,0.6672885850801032,0.4663410829941921,0.9161923737917461,0.36872774817564774,0.845,0.838,2.556,0.855,0
1_model,3_model,0.4936234614305668,0.4794322062277963,0.6680690168347622,0.4754842921328073,0.5850927748840842,0.3042851381212152,0.967,0.29,1.303,0.962,0
1_model,4_model,0.5102241368411421,0.6331005016245135,0.16938252659042688,0.48652210953144415,0.6500132024912352,0.23920752805818288,0.895,0.429,3.322,0.893,0
2_model,3_model,0.754568173793705,1.2547811788429077,0.2677393286739355,0.5224897602623417,1.2821161087470174,0.3628580751452824,0.809,0.905,3.601,0.846,0
2_model,4_model,0.7758803140938365,1.147789528261372,0.6910608665964679,0.6044063464887068,1.2019400626858239,0.43863616496224733,0.803,0.9,2.999,0.786,0
3_model,4_model,0.4409712400120063,0.6293996669375848,0.6575887656659849,0.3105548942364258,0.7341950262703824,0.3480121964296093,0.858,0.339,4.235,0.821,0
0_model,1_model,1.1473011438947185,2.531883127682797,0.7920758712339466,0.28787592258274664,4.488360096088933,0.8903111815969701,0.756,1.333,3.138,0.83,1
0_model,2_model,1.1869747014182277,2.6592378992291654,0.8326052308535079,0.1807404597632333,4.236203961866739,0.8374574672224224,0.746,1.563,2.631,0.846,1
0_model,3_model,0.542486167728119,0.7906106713044414,1.0001169024184058,0.3699454859909152,1.2076251976210632,0.6121221713457166,0.909,0.512,1.524,0.862,1
0_model,4_model,1.0449623269950739,2.281503289010619,1.0178155948213143,0.21085242408531515,4.632094178729421,0.67296834578302,0.778,1.03,2.129,0.714,1
1_model,2_model,1.1590231474895583,2.5284227449272954,0.7267213053095528,0.3507705655635599,5.119133839312702,1.22835612679002,0.82,0.827,1.148,0.712,0
1_model,3_model,1.3790256006267692,3.0317565256580896,0.6861753707357157,0.40641589755592167,5.1989341088016285,1.0522129435936145,0.734,1.234,1.912,0.655,0
1_model,4_model,1.1521377633555006,2.50579926879692,0.7658459915742498,0.35357445087505396,4.137324254355353,1.203681477117249,0.784,0.954,1.398,0.667,0
2_model,3_model,1.3582122806339332,2.9955605795191023,0.5591284241965472,0.3561911388379456,4.625705031928724,0.9887074534003231,0.723,1.509,1.633,0.707,0
2_model,4_model,1.1194701920483934,2.4531476440127165,0.5754760313191057,0.3078559884180931,3.774249164036755,0.6204576771683082,0.757,1.211,1.076,0.683,0
3_model,4_model,1.0522860156417364,2.1563846499553025,0.597508982488294,0.5100915478616075,4.150159031528691,0.7407643011866041,0.823,0.896,1.013,0.746,1
0_model,1_model,0.6511308707684782,1.270606693264065,0.17224848629688164,0.3393405618914876,1.4985672562807757,0.5432744488017062,0.829,0.632,2.71,0.731,0
